channel,segment_a,segment_b,p_value,p_display
m/z 62.96 (Neg),0,1,0.0,<1e-50
m/z 62.96 (Neg),0,2,1.0,1.000
m/z 62.96 (Neg),1,2,0.0,<1e-50
m/z 78.95 (Neg),0,1,0.0,<1e-50
m/z 78.95 (Neg),0,2,4.351688091831413e-65,<1e-50
m/z 78.95 (Neg),1,2,0.0,<1e-50
m/z 96.94 (Neg),0,1,4.747395415880863e-08,4.75e-08
m/z 96.94 (Neg),0,2,0.0,<1e-50
m/z 96.94 (Neg),1,2,0.0,<1e-50
m/z 103.91 (Neg),0,1,0.16189139906687727,0.162
m/z 103.91 (Neg),0,2,0.0,<1e-50
m/z 103.91 (Neg),1,2,0.0,<1e-50
m/z 123.95 (Neg),0,1,0.0,<1e-50
m/z 123.95 (Neg),0,2,0.0,<1e-50
m/z 123.95 (Neg),1,2,2.5937073871936642e-64,<1e-50
